区分,行No,品目,数量,単位,単価（税抜・円）,金額（税抜・円）,税区分,備考
1. 企画・ディレクション費,1-1,統括ディレクション,10,ヶ月,73000,730000,課税10%,プロジェクト総合管理／コンセプト統括／市連携窓口
1. 企画・ディレクション費,1-2,進行管理・運営,10,ヶ月,36000,360000,課税10%,月次定例・品質管理・スケジュール管理
2. 取材費（30社）,2-1,コンサル型取材ライティング,30,社,36000,1080000,課税10%,事前アンケート→訪問取材→原稿執筆→FB対応
2. 取材費（30社）,2-2,取材コーディネート,30,社,9000,270000,課税10%,30社の日程調整・事前資料準備
2. 取材費（30社）,2-3,取材移動費,30,社,9500,285000,課税10%,30社訪問の交通費・宿泊費（市内・福島県内中心）
3. 冊子制作費,3-1,グラフィックデザイン,66,P,18000,1188000,課税10%,表紙＋本文66P＋マトリクス4P＋特集10P
3. 冊子制作費,3-2,DTP・組版,1,式,254000,254000,課税10%,InDesign入稿データ作成
3. 冊子制作費,3-3,校正・校閲,1,式,182000,182000,課税10%,3校×1000部
3. 冊子制作費,3-4,印刷費（1000部）,1000,部,920,920000,課税10%,表紙135k／本文マットコート70k／両面カラー（仕様書準拠）
4. PV制作費,4-1,映像撮影（4K）,20,社,73000,1460000,課税10%,20社×半日〜1日撮影
4. PV制作費,4-2,映像編集（5-7分）,20,本,73000,1460000,課税10%,メインPV 20本
4. PV制作費,4-3,ダイジェスト編集,1,本,91000,91000,課税10%,60-90秒×1本
4. PV制作費,4-4,SNS縦型短尺切出,20,社,18000,360000,課税10%,9:16・15-60秒×20社×複数
4. PV制作費,4-5,音楽・効果音,1,式,82000,82000,課税10%,BGMライセンス・SE
5. 特設WEB＋TAKUMI-AI（自主提案・委託額内）,5-1,特設WEB構築,1,式,545000,545000,課税10%,CMS実装／5軸検索／30社個別ページ／WEB掲示板
5. 特設WEB＋TAKUMI-AI（自主提案・委託額内）,5-2,TAKUMI-AI（RAG実装）,1,式,364000,364000,課税10%,API連携／プロンプト設計／対話設計
5. 特設WEB＋TAKUMI-AI（自主提案・委託額内）,5-3,運用マニュアル作成,1,式,182000,182000,課税10%,スクリーンキャプチャ付き／ハンズオン講習
6. 共創コミュニティ立上げ,6-1,立上げサポート,1,式,137000,137000,課税10%,コミュニティ会員化・規約整備
6. 共創コミュニティ立上げ,6-2,オンライン交流＋総会運営,1,式,136000,136000,課税10%,月次オンライン＋年次総会
7. 諸経費・成果物制作費,7-1,DVD-ROM媒体・パッケージ,1,式,91000,91000,課税10%,冊子電子版＋PV媒体（仕様書5(3)準拠）
7. 諸経費・成果物制作費,7-2,データ管理・バックアップ,1,式,91000,91000,課税10%,クラウド管理／NDA管理
7. 諸経費・成果物制作費,7-3,著作権・肖像権処理,1,式,91000,91000,課税10%,取材30社の権利確認・契約書整備
7. 諸経費・成果物制作費,7-4,予備費,1,式,95545,95545,課税10%,想定外対応／追加修正対応バッファ（端数調整含む）
